file,S,N,sum_A,min_S_per_N,var_S_per_N,mean_S_per_N,est_p,fragility,web_type,dispersion,robustness,robustness_hat,residRf,log10d,web_type_fac,.fitted,.resid,fstar,resid_simple,resid_fstar
data/M_AF_002_12.csv,4,3,5,1,0.2222222222222222,1.6666666666666667,0.4166666666666667,0.5095637388993745,AF,0.07777777777777777,0.5255,0.5052675397878609,0.03506373889937442,-1.109144469425068,AF,0.3184023375069836,-0.2833385986076092,0.19116140139239085,-0.2833385986076092,-0.165764291356559
data/M_AF_002_13.csv,4,3,5,1,0.2222222222222222,1.6666666666666667,0.4166666666666667,0.5095637388993745,AF,0.07777777777777777,0.527,0.5052675397878609,0.036563738899374476,-1.109144469425068,AF,0.3184023375069836,-0.2818385986076091,0.19116140139239085,-0.2818385986076091,-0.16426429135655896
data/M_AF_002_14.csv,5,4,7,1,0.1875,1.75,0.35,0.6436162202970767,AF,0.06964285714285715,0.5028,0.39860774283504125,0.14641622029707668,-1.1571234199797011,AF,0.33217566499393025,-0.18575944469685357,0.3114405553031464,-0.18575944469685357,-0.04515875430013183
data/M_AF_002_15.csv,5,3,5,1,0.2222222222222222,1.6666666666666667,0.3333333333333333,0.5419022582702911,AF,0.08888888888888889,0.4552,0.4782248322996736,-0.0028977417297088026,-1.0511525224473812,AF,0.3017545770183541,-0.3046523187480629,0.24014768125193703,-0.3046523187480629,-0.17365706953963117
data/M_PA_001.csv,8,15,18,1,0.16,1.2,0.15,2.0828729070751772,PA,0.11333333333333333,0.15675,0.006907741048830003,1.2396229070751772,-0.9456423376774074,PA,0.27146574595294076,0.9681571611222364,1.8114071611222364,0.9681571611222364,0.12651570679063126
data/M_PA_002.csv,4,5,10,1,0.4,2,0.5,0.5804820237218405,PA,0.1,0.5145,0.44703355936925815,0.0949820237218405,-1,PA,0.28707021157670237,-0.19208818785486187,0.2934118121451382,-0.19208818785486187,-0.05287643434394895
data/M_PA_003.csv,15,23,42,1,0.8393194706994329,1.826086956521739,0.12173913043478261,1.6102792753111996,PA,0.4036726978125844,0.1312,0.03547434552635469,0.7414792753111996,-0.3939706228718426,PA,0.11309723006282507,0.6283820452483746,1.4971820452483746,0.6283820452483746,0.07572621724473785
data/M_PA_004.csv,48,40,259,1,28.949374999999996,6.475,0.13489583333333333,0.5303575915284297,PA,3.8678339667792794,0.1785,0.4877867084818076,-0.29114240847157036,0.587467822996483,PA,-0.16864451224210514,-0.12249789622946522,0.6990021037705347,-0.12249789622946528,-0.08070393504691953
data/M_PL_001.csv,101,83,336,1,13.877195529104371,4.048192771084337,0.04008111654538948,1.06953425490292,PL,3.2905997295704528,0.06584158415841584,0.16007119352587187,0.135375839061336,0.5172750576784205,PL,-0.1484942602510951,0.2838700993124311,1.2180285151540151,0.283870099312431,-0.029274928233617506
data/M_PL_002.csv,64,42,182,1,11.46031746031746,4.333333333333333,0.06770833333333333,0.8329974204930175,PL,2.4656211843711846,0.09984375,0.273737072642096,-0.06715882950698249,0.3919263528052267,PL,-0.11251038102228172,0.04535155151529924,0.9455078015152992,0.04535155151529924,-0.06116894207873534
data/M_PL_003.csv,25,35,74,1,2.0440816326530613,2.1142857142857143,0.08457142857142858,1.6094295142677493,PL,0.8850321014892444,0.18288000000000001,0.035569321964836316,0.7923095142677493,-0.05304097648093532,PL,0.015226484340616998,0.7770830299271323,1.5942030299271324,0.7770830299271324,0.13688594928737052
data/M_PL_004.csv,102,11,102,1,70.56198347107438,9.272727272727273,0.09090909090909091,0.24665546988330192,PL,6.917841516771998,0.38382352941176473,0.7503505734236431,-0.36952100070493343,0.8399706083895603,PL,-0.24113054026860248,-0.12839046043633096,0.48778601015190437,-0.12839046043633096,-0.005957196474944804
data/M_PL_005.csv,275,95,861,1,144.31180055401663,9.063157894736841,0.03295693779904306,0.4941342632472146,PL,15.398134639200407,0.05890909090909091,0.5184491245049684,-0.4469566458436945,1.1874681127215558,PL,-0.3408867223595645,-0.10606992348412997,0.8350209856067792,-0.10606992348412991,-0.14040685960857333
data/M_PL_006.csv,61,16,97,1,37.43359375,6.0625,0.09938524590163934,0.4342116709628607,PL,5.56094793075038,0.1900655737704918,0.5712634144464853,-0.3757227552666475,0.7451488286331572,PL,-0.2139100318918524,-0.1618127233747951,0.648121702854713,-0.16181272337479513,-0.09590585863529763
